mouse_id,sex,order,phase,param,day,value
FEDXA03,M,2.0,PR,meal_freq_per_day,2,1.375
FEDXA03,M,2.0,PR,meal_freq_per_day,3,1.8333333333333333
FEDXA03,M,2.0,PR,meal_freq_per_day,4,2.3333333333333335
FEDXA03,M,2.0,PR,meal_freq_per_day,5,2.5416666666666665
FEDXA03,M,2.0,PR,meal_freq_per_day,6,2.5416666666666665
FEDXA03,M,2.0,PR,meal_freq_per_day,7,2.25
FEDXA04,M,2.0,PR,meal_freq_per_day,1,1.3333333333333333
FEDXA04,M,2.0,PR,meal_freq_per_day,2,1.5416666666666667
FEDXA04,M,2.0,PR,meal_freq_per_day,3,1.5833333333333333
FEDXA04,M,2.0,PR,meal_freq_per_day,4,1.875
FEDXA04,M,2.0,PR,meal_freq_per_day,5,1.9166666666666667
FEDXA04,M,2.0,PR,meal_freq_per_day,6,1.9166666666666667
FEDXA04,M,2.0,PR,meal_freq_per_day,7,1.9166666666666667
FEDXA05,M,2.0,PR,meal_freq_per_day,1,1.5833333333333333
FEDXA05,M,2.0,PR,meal_freq_per_day,2,2.0
FEDXA05,M,2.0,PR,meal_freq_per_day,3,2.2916666666666665
FEDXA05,M,2.0,PR,meal_freq_per_day,4,2.2916666666666665
FEDXA05,M,2.0,PR,meal_freq_per_day,5,2.0416666666666665
FEDXA05,M,2.0,PR,meal_freq_per_day,6,2.6666666666666665
FEDXA05,M,2.0,PR,meal_freq_per_day,7,2.7916666666666665
FEDXA06,M,2.0,PR,meal_freq_per_day,1,2.2916666666666665
FEDXA06,M,2.0,PR,meal_freq_per_day,2,2.0416666666666665
FEDXA06,M,2.0,PR,meal_freq_per_day,3,2.6666666666666665
FEDXA06,M,2.0,PR,meal_freq_per_day,4,2.2083333333333335
FEDXA06,M,2.0,PR,meal_freq_per_day,5,2.25
FEDXA06,M,2.0,PR,meal_freq_per_day,6,1.9166666666666667
FEDXA06,M,2.0,PR,meal_freq_per_day,7,2.875
FEDXA07,M,1.0,PR,meal_freq_per_day,1,1.375
FEDXA07,M,1.0,PR,meal_freq_per_day,2,1.7916666666666667
FEDXA07,M,1.0,PR,meal_freq_per_day,3,1.5833333333333333
FEDXA07,M,1.0,PR,meal_freq_per_day,4,1.5416666666666667
FEDXA07,M,1.0,PR,meal_freq_per_day,5,1.375
FEDXA07,M,1.0,PR,meal_freq_per_day,6,1.4166666666666667
FEDXA07,M,1.0,PR,meal_freq_per_day,7,1.4166666666666667
FEDXA08,M,1.0,PR,meal_freq_per_day,1,0.75
FEDXA08,M,1.0,PR,meal_freq_per_day,2,1.0833333333333333
FEDXA08,M,1.0,PR,meal_freq_per_day,3,1.0833333333333333
FEDXA08,M,1.0,PR,meal_freq_per_day,4,0.5416666666666666
FEDXA08,M,1.0,PR,meal_freq_per_day,5,1.0
FEDXA08,M,1.0,PR,meal_freq_per_day,6,0.625
FEDXA08,M,1.0,PR,meal_freq_per_day,7,0.625
FEDXA09,M,1.0,PR,meal_freq_per_day,1,1.7083333333333333
FEDXA09,M,1.0,PR,meal_freq_per_day,2,2.0833333333333335
FEDXA09,M,1.0,PR,meal_freq_per_day,3,2.2083333333333335
FEDXA09,M,1.0,PR,meal_freq_per_day,4,1.875
FEDXA09,M,1.0,PR,meal_freq_per_day,5,2.0833333333333335
FEDXA09,M,1.0,PR,meal_freq_per_day,6,1.7916666666666667
FEDXA09,M,1.0,PR,meal_freq_per_day,7,1.4166666666666667
FEDXA10,M,1.0,PR,meal_freq_per_day,1,1.2916666666666667
FEDXA10,M,1.0,PR,meal_freq_per_day,2,1.4166666666666667
FEDXA10,M,1.0,PR,meal_freq_per_day,3,1.4166666666666667
FEDXA10,M,1.0,PR,meal_freq_per_day,4,1.25
FEDXA10,M,1.0,PR,meal_freq_per_day,5,1.125
FEDXA10,M,1.0,PR,meal_freq_per_day,6,1.25
FEDXA10,M,1.0,PR,meal_freq_per_day,7,1.5833333333333333
FEDXA11,M,1.0,PR,meal_freq_per_day,1,1.125
FEDXA11,M,1.0,PR,meal_freq_per_day,2,0.5
FEDXA11,M,1.0,PR,meal_freq_per_day,3,1.6666666666666667
FEDXA11,M,1.0,PR,meal_freq_per_day,4,2.1666666666666665
FEDXA11,M,1.0,PR,meal_freq_per_day,5,2.0
FEDXA11,M,1.0,PR,meal_freq_per_day,6,2.2083333333333335
FEDXA11,M,1.0,PR,meal_freq_per_day,7,1.9583333333333333
FEDXA12,M,1.0,PR,meal_freq_per_day,1,1.625
FEDXA12,M,1.0,PR,meal_freq_per_day,2,2.25
FEDXA12,M,1.0,PR,meal_freq_per_day,3,2.4583333333333335
FEDXA12,M,1.0,PR,meal_freq_per_day,4,2.2916666666666665
FEDXA12,M,1.0,PR,meal_freq_per_day,5,1.25
FEDXA12,M,1.0,PR,meal_freq_per_day,6,1.3333333333333333
FEDXA12,M,1.0,PR,meal_freq_per_day,7,1.625
FEDXB01,F,2.0,PR,meal_freq_per_day,1,0.875
FEDXB01,F,2.0,PR,meal_freq_per_day,2,1.5833333333333333
FEDXB01,F,2.0,PR,meal_freq_per_day,3,2.7083333333333335
FEDXB01,F,2.0,PR,meal_freq_per_day,4,2.7083333333333335
FEDXB01,F,2.0,PR,meal_freq_per_day,5,2.9166666666666665
FEDXB01,F,2.0,PR,meal_freq_per_day,6,2.875
FEDXB01,F,2.0,PR,meal_freq_per_day,7,2.3333333333333335
FEDXB02,F,2.0,PR,meal_freq_per_day,1,1.25
FEDXB02,F,2.0,PR,meal_freq_per_day,2,2.0416666666666665
FEDXB02,F,2.0,PR,meal_freq_per_day,3,2.875
FEDXB02,F,2.0,PR,meal_freq_per_day,4,1.5
FEDXB02,F,2.0,PR,meal_freq_per_day,5,2.0833333333333335
FEDXB02,F,2.0,PR,meal_freq_per_day,6,2.25
FEDXB02,F,2.0,PR,meal_freq_per_day,7,1.2083333333333333
FEDXB03,F,2.0,PR,meal_freq_per_day,1,1.3333333333333333
FEDXB03,F,2.0,PR,meal_freq_per_day,2,1.7083333333333333
FEDXB03,F,2.0,PR,meal_freq_per_day,3,2.25
FEDXB03,F,2.0,PR,meal_freq_per_day,4,2.4166666666666665
FEDXB03,F,2.0,PR,meal_freq_per_day,5,2.6666666666666665
FEDXB03,F,2.0,PR,meal_freq_per_day,6,2.9166666666666665
FEDXB03,F,2.0,PR,meal_freq_per_day,7,2.1666666666666665
FEDXB04,F,2.0,PR,meal_freq_per_day,1,0.9166666666666666
FEDXB04,F,2.0,PR,meal_freq_per_day,2,1.5
FEDXB04,F,2.0,PR,meal_freq_per_day,3,1.875
FEDXB04,F,2.0,PR,meal_freq_per_day,4,1.9583333333333333
FEDXB04,F,2.0,PR,meal_freq_per_day,5,1.4583333333333333
FEDXB04,F,2.0,PR,meal_freq_per_day,6,1.875
FEDXB04,F,2.0,PR,meal_freq_per_day,7,2.125
FEDXB05,F,2.0,PR,meal_freq_per_day,1,1.6666666666666667
FEDXB05,F,2.0,PR,meal_freq_per_day,2,1.6666666666666667
FEDXB05,F,2.0,PR,meal_freq_per_day,3,1.875
