"contrast","hour","estimate","SE","df","t.ratio","p.value"
"PR F order2 - PR M order2","3",-0.190476190476236,0.164700027350405,247.070802102302,-1.15650369669333,1
"NR M order2 - PR M order2","3",0.214285714285714,0.143649024731934,892.999999999968,1.49173107638981,1
"NR F order1 - PR F order1","4",0.142857142857143,0.157359622418595,893.000000000027,0.907838622522401,1
"NR F order1 - NR M order1","4",-0.109523809523627,0.17273884597897,247.070802102275,-0.634042730243553,1
"NR F order1 - PR M order1","4",0.0809523809525643,0.17273884597897,247.07080210228,0.468640278877513,1
"NR F order1 - NR F order2","4",0.0571428571430412,0.17273884597897,247.07080210228,0.330804902737384,1
"NR F order1 - PR F order2","4",0.0571428571430417,0.17273884597897,247.07080210228,0.330804902737386,1
"NR F order1 - NR M order2","4",-0.41904761904748,0.17273884597897,247.070802102271,-2.42590262006553,0.367707075781901
"NR F order1 - PR M order2","4",0.00952380952394882,0.17273884597897,247.070802102262,0.0551341504568595,1
"PR F order1 - NR M order1","4",-0.25238095238077,0.17273884597897,247.070802102275,-1.46105498708435,1
"PR F order1 - PR M order1","4",-0.0619047619045784,0.17273884597897,247.07080210228,-0.358371977963282,1
"PR F order1 - NR F order2","4",-0.0857142857141015,0.17273884597897,247.070802102275,-0.496207354103411,1
"PR F order1 - PR F order2","4",-0.085714285714101,0.172738845978971,247.07080210228,-0.496207354103407,1
"PR F order1 - NR M order2","4",-0.561904761904622,0.17273884597897,247.07080210228,-3.25291487690632,0.0364446880350719
"PR F order1 - PR M order2","4",-0.133333333333194,0.17273884597897,247.070802102271,-0.771878106383935,1
"NR M order1 - PR M order1","4",0.190476190476191,0.143649024731934,892.999999999968,1.32598317901317,1
"NR M order1 - NR F order2","4",0.166666666666668,0.164700027350405,247.070802102297,1.01194073460643,1
"NR M order1 - PR F order2","4",0.166666666666669,0.164700027350405,247.070802102297,1.01194073460643,1
"NR M order1 - NR M order2","4",-0.309523809523853,0.164700027350405,247.070802102284,-1.87931850712648,1
"NR M order1 - PR M order2","4",0.119047619047576,0.164700027350405,247.070802102297,0.722814810432897,1
"PR M order1 - NR F order2","4",-0.0238095238095231,0.164700027350405,247.070802102297,-0.144562962086628,1
"PR M order1 - PR F order2","4",-0.0238095238095226,0.164700027350405,247.070802102297,-0.144562962086625,1
"PR M order1 - NR M order2","4",-0.500000000000044,0.164700027350405,247.070802102297,-3.03582220381953,0.0716981397364772
"PR M order1 - PR M order2","4",-0.0714285714286155,0.164700027350405,247.070802102297,-0.433688886260163,1
"NR F order2 - PR F order2","4",4.9960036108132e-16,0.143649024731934,892.999999999968,3.47792379386936e-15,1
"NR F order2 - NR M order2","4",-0.476190476190521,0.164700027350405,247.070802102293,-2.89125924173291,0.104466471910978
"NR F order2 - PR M order2","4",-0.0476190476190924,0.164700027350405,247.070802102297,-0.289125924173535,1
"PR F order2 - NR M order2","4",-0.476190476190521,0.164700027350405,247.070802102302,-2.89125924173291,0.104466471910978
"PR F order2 - PR M order2","4",-0.0476190476190929,0.164700027350405,247.070802102293,-0.289125924173539,1
"NR M order2 - PR M order2","4",0.428571428571428,0.143649024731934,892.999999999968,2.98346215277962,0.076118638093605
"NR F order1 - PR F order1","5",-0.057142857142859,0.157359622418595,892.99999999991,-0.363135449008973,1
"NR F order1 - NR M order1","5",-0.219047619047437,0.17273884597897,247.07080210228,-1.26808546048817,1
"NR F order1 - PR M order1","5",-0.266666666666484,0.17273884597897,247.07080210228,-1.54375621276843,1
"NR F order1 - NR F order2","5",0.0428571428573257,0.17273884597897,247.07080210228,0.248103677053297,1
"NR F order1 - PR F order2","5",0.0428571428573266,0.17273884597897,247.07080210228,0.248103677053302,1
"NR F order1 - NR M order2","5",-0.457142857142719,0.17273884597897,247.070802102275,-2.64643922188974,0.225078461042734
"NR F order1 - PR M order2","5",-0.147619047618909,0.17273884597897,247.07080210228,-0.854579332068019,1
"PR F order1 - NR M order1","5",-0.161904761904578,0.172738845978971,247.07080210228,-0.937280557751837,1
"PR F order1 - PR M order1","5",-0.209523809523625,0.17273884597897,247.070802102271,-1.2129513100321,1
"PR F order1 - NR F order2","5",0.100000000000185,0.17273884597897,247.070802102275,0.578908579789626,1
"PR F order1 - PR F order2","5",0.100000000000186,0.17273884597897,247.070802102271,0.578908579789631,1
"PR F order1 - NR M order2","5",-0.39999999999986,0.172738845978971,247.07080210228,-2.31563431915341,0.534945226181947
"PR F order1 - PR M order2","5",-0.09047619047605,0.17273884597897,247.070802102275,-0.523774429331691,1
"NR M order1 - PR M order1","5",-0.0476190476190468,0.143649024731934,892.999999999968,-0.331495794753286,1
"NR M order1 - NR F order2","5",0.261904761904763,0.164700027350405,247.070802102297,1.59019258295296,1
"NR M order1 - PR F order2","5",0.261904761904764,0.164700027350405,247.070802102302,1.59019258295296,1
"NR M order1 - NR M order2","5",-0.238095238095282,0.164700027350405,247.070802102293,-1.44562962086658,1
"NR M order1 - PR M order2","5",0.0714285714285282,0.164700027350405,247.070802102297,0.433688886259633,1
"PR M order1 - NR F order2","5",0.30952380952381,0.164700027350405,247.070802102297,1.87931850712621,1
"PR M order1 - PR F order2","5",0.309523809523811,0.164700027350405,247.070802102302,1.87931850712622,1
"PR M order1 - NR M order2","5",-0.190476190476235,0.164700027350405,247.070802102293,-1.15650369669332,1
"PR M order1 - PR M order2","5",0.119047619047575,0.164700027350405,247.070802102297,0.722814810432892,1
"NR F order2 - PR F order2","5",8.74300631892311e-16,0.143649024731934,892.999999999968,6.08636663927138e-15,1
"NR F order2 - NR M order2","5",-0.500000000000045,0.164700027350405,247.070802102293,-3.03582220381954,0.0743536263933815
"NR F order2 - PR M order2","5",-0.190476190476235,0.164700027350405,247.070802102293,-1.15650369669332,1
"PR F order2 - NR M order2","5",-0.500000000000045,0.164700027350405,247.070802102302,-3.03582220381954,0.0743536263933815
"PR F order2 - PR M order2","5",-0.190476190476236,0.164700027350405,247.070802102293,-1.15650369669333,1
"NR M order2 - PR M order2","5",0.30952380952381,0.143649024731934,892.999999999968,2.1547226658964,0.754808143335351
"NR F order1 - PR F order1","6",0.200000000000001,0.157359622418595,892.99999999991,1.27097407153137,1
"NR F order1 - NR M order1","6",0.0190476190478037,0.172738845978971,247.070802102275,0.110268300913175,1
"NR F order1 - PR M order1","6",0.114285714285899,0.172738845978971,247.070802102271,0.661609805473707,1
"NR F order1 - NR F order2","6",0.138095238095425,0.17273884597897,247.070802102275,0.799445181613848,1
"NR F order1 - PR F order2","6",0.185714285714472,0.17273884597897,247.07080210228,1.07511593389411,1
"NR F order1 - NR M order2","6",-0.0523809523808115,0.17273884597897,247.070802102275,-0.303237827507476,1
"NR F order1 - PR M order2","6",0.0190476190477601,0.172738845978971,247.070802102271,0.110268300912922,1
"PR F order1 - NR M order1","6",-0.180952380952197,0.17273884597897,247.070802102275,-1.04754885866395,1
"PR F order1 - PR M order1","6",-0.0857142857141018,0.17273884597897,247.070802102275,-0.496207354103412,1
"PR F order1 - NR F order2","6",-0.0619047619045766,0.17273884597897,247.070802102275,-0.358371977963272,1
"PR F order1 - PR F order2","6",-0.0142857142855292,0.17273884597897,247.070802102271,-0.0827012256830083,1
"PR F order1 - NR M order2","6",-0.252380952380813,0.17273884597897,247.070802102271,-1.4610549870846,1
"PR F order1 - PR M order2","6",-0.180952380952241,0.17273884597897,247.070802102262,-1.0475488586642,1
"NR M order1 - PR M order1","6",0.0952380952380957,0.143649024731934,892.999999999968,0.662991589506586,1
"NR M order1 - NR F order2","6",0.119047619047621,0.164700027350405,247.070802102297,0.72281481043317,1
"NR M order1 - PR F order2","6",0.166666666666668,0.164700027350405,247.070802102302,1.01194073460643,1
"NR M order1 - NR M order2","6",-0.0714285714286152,0.164700027350405,247.070802102293,-0.433688886260161,1
