Unnamed: 0,contrast,estimate,SE,df,t.ratio,p.value,Significance,Test Details
335,NR2 F Order1 - PR5 F Order1,-26.4,16.95718033,19,-1.556862608,0.99997295,,"t(19) = -1.557, p = 1.000e+00"
336,NR2 F Order1 - PR6 F Order1,-22.2,13.24067365,19,-1.676651853,0.999855409,,"t(19) = -1.677, p = 9.999e-01"
337,NR2 F Order1 - G0 M Order1,-73.36666667,28.48443609,19,-2.575675588,0.910363623,,"t(19) = -2.576, p = 9.104e-01"
338,NR2 F Order1 - G1 M Order1,-36.36666667,18.72906082,19,-1.941723988,0.997618847,,"t(19) = -1.942, p = 9.976e-01"
339,NR2 F Order1 - G2 M Order1,-13.03333333,23.43709261,19,-0.556098555,1.0,,"t(19) = -0.556, p = 1.000e+00"
340,NR2 F Order1 - NR0 M Order1,18.8,19.11706626,19,0.983414492,1.0,,"t(19) = 0.983, p = 1.000e+00"
341,NR2 F Order1 - NR1 M Order1,11.13333333,20.30247731,19,0.548373145,1.0,,"t(19) = 0.548, p = 1.000e+00"
342,NR2 F Order1 - NR2 M Order1,3.966666667,17.04997642,19,0.232649393,1.0,,"t(19) = 0.233, p = 1.000e+00"
343,NR2 F Order1 - NR3 M Order1,10.8,17.51182391,19,0.616726165,1.0,,"t(19) = 0.617, p = 1.000e+00"
344,NR2 F Order1 - NR4 M Order1,9.466666667,17.53836063,19,0.539769187,1.0,,"t(19) = 0.540, p = 1.000e+00"
345,NR2 F Order1 - NR5 M Order1,1.3,19.19769266,19,0.067716471,1.0,,"t(19) = 0.068, p = 1.000e+00"
346,NR2 F Order1 - NR6 M Order1,3.133333333,17.39899674,19,0.180087012,1.0,,"t(19) = 0.180, p = 1.000e+00"
347,NR2 F Order1 - PR0 M Order1,49.3,17.38811182,19,2.835270471,0.805532035,,"t(19) = 2.835, p = 8.055e-01"
348,NR2 F Order1 - PR1 M Order1,34.3,19.18257006,19,1.78808157,0.99946352,,"t(19) = 1.788, p = 9.995e-01"
349,NR2 F Order1 - PR2 M Order1,1.966666667,19.14771603,19,0.102710248,1.0,,"t(19) = 0.103, p = 1.000e+00"
350,NR2 F Order1 - PR3 M Order1,-6.366666667,18.83209746,19,-0.338075282,1.0,,"t(19) = -0.338, p = 1.000e+00"
351,NR2 F Order1 - PR4 M Order1,-13.7,19.65450709,19,-0.697041138,1.0,,"t(19) = -0.697, p = 1.000e+00"
352,NR2 F Order1 - PR5 M Order1,-10.86666667,19.3384733,19,-0.561919573,1.0,,"t(19) = -0.562, p = 1.000e+00"
353,NR2 F Order1 - PR6 M Order1,-1.366666667,19.10038731,19,-0.071551778,1.0,,"t(19) = -0.072, p = 1.000e+00"
354,NR2 F Order1 - G0 F Order2,-20.7,28.48443609,19,-0.726712649,1.0,,"t(19) = -0.727, p = 1.000e+00"
355,NR2 F Order1 - G1 F Order2,-24.53333333,18.72906082,19,-1.309907291,0.999999732,,"t(19) = -1.310, p = 1.000e+00"
356,NR2 F Order1 - G2 F Order2,-6.2,23.43709261,19,-0.264537932,1.0,,"t(19) = -0.265, p = 1.000e+00"
357,NR2 F Order1 - NR0 F Order2,-14.03333333,19.11706626,19,-0.734073584,1.0,,"t(19) = -0.734, p = 1.000e+00"
358,NR2 F Order1 - NR1 F Order2,-39.2,20.30247731,19,-1.930798858,0.997835481,,"t(19) = -1.931, p = 9.978e-01"
359,NR2 F Order1 - NR2 F Order2,-2.2,17.04997642,19,-0.129032437,1.0,,"t(19) = -0.129, p = 1.000e+00"
360,NR2 F Order1 - NR3 F Order2,13.8,17.51182391,19,0.788038989,1.0,,"t(19) = 0.788, p = 1.000e+00"
361,NR2 F Order1 - NR4 F Order2,29.63333333,17.53836063,19,1.689629604,0.999829625,,"t(19) = 1.690, p = 9.998e-01"
362,NR2 F Order1 - NR5 F Order2,-20.7,19.19769266,19,-1.078254578,1.0,,"t(19) = -1.078, p = 1.000e+00"
363,NR2 F Order1 - NR6 F Order2,-17.53333333,17.39899674,19,-1.007720939,1.0,,"t(19) = -1.008, p = 1.000e+00"
364,NR2 F Order1 - PR0 F Order2,60.8,17.38811182,19,3.496641879,0.440484494,,"t(19) = 3.497, p = 4.405e-01"
365,NR2 F Order1 - PR1 F Order2,34.96666667,19.18257006,19,1.822835342,0.999225799,,"t(19) = 1.823, p = 9.992e-01"
366,NR2 F Order1 - PR2 F Order2,-22.2,19.14771603,19,-1.159407209,1.0,,"t(19) = -1.159, p = 1.000e+00"
367,NR2 F Order1 - PR3 F Order2,-2.866666667,18.83209746,19,-0.152222378,1.0,,"t(19) = -0.152, p = 1.000e+00"
368,NR2 F Order1 - PR4 F Order2,-16.7,19.65450709,19,-0.849677884,1.0,,"t(19) = -0.850, p = 1.000e+00"
369,NR2 F Order1 - PR5 F Order2,-32.86666667,19.3384733,19,-1.699548157,0.99980727,,"t(19) = -1.700, p = 9.998e-01"
370,NR2 F Order1 - PR6 F Order2,4.633333333,19.10038731,19,0.242577978,1.0,,"t(19) = 0.243, p = 1.000e+00"
371,NR2 F Order1 - G0 M Order2,-70.7,28.48443609,19,-2.482057211,0.937193232,,"t(19) = -2.482, p = 9.372e-01"
372,NR2 F Order1 - G1 M Order2,-62.53333333,18.72906082,19,-3.338839781,0.527206974,,"t(19) = -3.339, p = 5.272e-01"
373,NR2 F Order1 - G2 M Order2,22.3,23.43709261,19,0.951483205,1.0,,"t(19) = 0.951, p = 1.000e+00"
374,NR2 F Order1 - NR0 M Order2,-69.7,19.11706626,19,-3.64595692,0.365118873,,"t(19) = -3.646, p = 3.651e-01"
375,NR2 F Order1 - NR1 M Order2,-50.03333333,20.30247731,19,-2.464395481,0.941583245,,"t(19) = -2.464, p = 9.416e-01"
376,NR2 F Order1 - NR2 M Order2,-30.2,17.04997642,19,-1.771263447,0.999553828,,"t(19) = -1.771, p = 9.996e-01"
377,NR2 F Order1 - NR3 M Order2,-26.53333333,17.51182391,19,-1.515166751,0.999986007,,"t(19) = -1.515, p = 1.000e+00"
378,NR2 F Order1 - NR4 M Order2,-25.2,17.53836063,19,-1.436850372,0.999996407,,"t(19) = -1.437, p = 1.000e+00"
379,NR2 F Order1 - NR5 M Order2,-13.7,19.19769266,19,-0.713627426,1.0,,"t(19) = -0.714, p = 1.000e+00"
380,NR2 F Order1 - NR6 M Order2,-9.366666667,17.39899674,19,-0.538345216,1.0,,"t(19) = -0.538, p = 1.000e+00"
381,NR2 F Order1 - PR0 M Order2,32.96666667,17.38811182,19,1.89593137,0.99841981,,"t(19) = 1.896, p = 9.984e-01"
382,NR2 F Order1 - PR1 M Order2,40.8,19.18257006,19,2.126930848,0.990247344,,"t(19) = 2.127, p = 9.902e-01"
383,NR2 F Order1 - PR2 M Order2,11.8,19.14771603,19,0.616261489,1.0,,"t(19) = 0.616, p = 1.000e+00"
384,NR2 F Order1 - PR3 M Order2,-7.866666667,18.83209746,19,-0.417726527,1.0,,"t(19) = -0.418, p = 1.000e+00"
385,NR2 F Order1 - PR4 M Order2,-41.2,19.65450709,19,-2.096211307,0.99208675,,"t(19) = -2.096, p = 9.921e-01"
386,NR2 F Order1 - PR5 M Order2,-46.7,19.3384733,19,-2.414875221,0.952786707,,"t(19) = -2.415, p = 9.528e-01"
387,NR2 F Order1 - PR6 M Order2,-67.2,19.10038731,19,-3.518253264,0.429116788,,"t(19) = -3.518, p = 4.291e-01"
388,NR3 F Order1 - NR4 F Order1,-20.4,8.330476703,19,-2.448839451,0.945276713,,"t(19) = -2.449, p = 9.453e-01"
389,NR3 F Order1 - NR5 F Order1,-17.0,13.5304076,19,-1.256429259,1.0,,"t(19) = -1.256, p = 1.000e+00"
390,NR3 F Order1 - NR6 F Order1,1.8,12.15526743,19,0.148083949,1.0,,"t(19) = 0.148, p = 1.000e+00"
