mouse_id,sex,order,day,hour,pr_hourly_pellet_intake,nr_hourly_pellet_intake
FEDXA04,M,2,2,20,0,0
FEDXA04,M,2,2,21,8,9
FEDXA04,M,2,2,22,8,6
FEDXA04,M,2,2,23,6,17
FEDXA04,M,2,3,0,4,0
FEDXA04,M,2,3,1,3,0
FEDXA04,M,2,3,2,0,12
FEDXA04,M,2,3,3,10,7
FEDXA04,M,2,3,4,0,8
FEDXA04,M,2,3,5,7,0
FEDXA04,M,2,3,6,0,0
FEDXA04,M,2,3,7,6,6
FEDXA04,M,2,3,8,0,0
FEDXA04,M,2,3,9,7,6
FEDXA04,M,2,3,10,8,0
FEDXA04,M,2,3,11,4,7
FEDXA04,M,2,3,12,11,5
FEDXA04,M,2,3,13,12,23
FEDXA04,M,2,3,14,12,28
FEDXA04,M,2,3,15,20,20
FEDXA04,M,2,3,16,20,24
FEDXA04,M,2,3,17,14,9
FEDXA04,M,2,3,18,11,29
FEDXA04,M,2,3,19,11,6
FEDXA04,M,2,3,20,0,0
FEDXA04,M,2,3,21,9,0
FEDXA04,M,2,3,22,6,0
FEDXA04,M,2,3,23,1,20
FEDXA04,M,2,4,0,12,0
FEDXA04,M,2,4,1,7,6
FEDXA04,M,2,4,2,8,12
FEDXA04,M,2,4,3,5,7
FEDXA04,M,2,4,4,6,0
FEDXA04,M,2,4,5,7,9
FEDXA04,M,2,4,6,0,4
FEDXA04,M,2,4,7,11,5
FEDXA04,M,2,4,8,0,1
FEDXA04,M,2,4,9,13,0
FEDXA04,M,2,4,10,4,8
FEDXA04,M,2,4,11,4,7
FEDXA04,M,2,4,12,10,8
FEDXA04,M,2,4,13,10,17
FEDXA04,M,2,4,14,17,29
FEDXA04,M,2,4,15,22,22
FEDXA04,M,2,4,16,19,22
FEDXA04,M,2,4,17,24,8
FEDXA04,M,2,4,18,22,27
FEDXA04,M,2,4,19,22,8
FEDXA04,M,2,4,20,5,4
FEDXA04,M,2,4,21,0,13
FEDXA04,M,2,4,22,11,9
FEDXA04,M,2,4,23,13,13
FEDXA04,M,2,5,0,11,18
FEDXA04,M,2,5,1,25,0
FEDXA04,M,2,5,2,1,8
FEDXA04,M,2,5,3,0,13
FEDXA04,M,2,5,4,7,5
FEDXA04,M,2,5,5,5,4
FEDXA04,M,2,5,6,8,0
FEDXA04,M,2,5,7,3,4
FEDXA04,M,2,5,8,0,6
FEDXA04,M,2,5,9,14,10
FEDXA04,M,2,5,10,1,0
FEDXA04,M,2,5,11,8,8
FEDXA04,M,2,5,12,18,12
FEDXA04,M,2,5,13,23,17
FEDXA04,M,2,5,14,24,22
FEDXA04,M,2,5,15,23,30
FEDXA04,M,2,5,16,21,16
FEDXA04,M,2,5,17,21,12
FEDXA04,M,2,5,18,22,9
FEDXA04,M,2,5,19,15,3
FEDXA04,M,2,5,20,3,19
FEDXA04,M,2,5,21,0,0
FEDXA04,M,2,5,22,8,10
FEDXA04,M,2,5,23,11,13
FEDXA04,M,2,6,0,21,0
FEDXA04,M,2,6,1,10,17
FEDXA04,M,2,6,2,11,5
FEDXA04,M,2,6,3,5,7
FEDXA04,M,2,6,4,13,0
FEDXA04,M,2,6,5,0,7
FEDXA04,M,2,6,6,9,0
FEDXA04,M,2,6,7,0,0
FEDXA04,M,2,6,8,6,7
FEDXA04,M,2,6,9,17,0
FEDXA04,M,2,6,10,0,6
FEDXA04,M,2,6,11,7,7
FEDXA04,M,2,6,12,15,10
FEDXA04,M,2,6,13,16,18
FEDXA04,M,2,6,14,33,21
FEDXA04,M,2,6,15,32,32
FEDXA04,M,2,6,16,17,20
FEDXA04,M,2,6,17,23,0
FEDXA04,M,2,6,18,16,21
FEDXA04,M,2,6,19,7,0
FEDXA04,M,2,6,20,18,11
FEDXA04,M,2,6,21,16,9
FEDXA04,M,2,6,22,0,12
FEDXA04,M,2,6,23,13,5
FEDXA05,M,2,0,0,0,0
FEDXA05,M,2,0,1,0,0
FEDXA05,M,2,0,2,0,0
FEDXA05,M,2,0,3,3,5
FEDXA05,M,2,0,4,5,11
FEDXA05,M,2,0,5,10,17
FEDXA05,M,2,0,6,0,0
FEDXA05,M,2,0,7,0,9
FEDXA05,M,2,0,8,4,12
FEDXA05,M,2,0,9,0,0
FEDXA05,M,2,0,10,11,8
FEDXA05,M,2,0,11,1,16
FEDXA05,M,2,0,12,8,15
FEDXA05,M,2,0,13,7,18
FEDXA05,M,2,0,14,18,19
FEDXA05,M,2,0,15,10,22
FEDXA05,M,2,0,16,20,28
FEDXA05,M,2,0,17,2,23
FEDXA05,M,2,0,18,19,16
FEDXA05,M,2,0,19,11,7
FEDXA05,M,2,0,20,2,16
FEDXA05,M,2,0,21,9,9
FEDXA05,M,2,0,22,6,5
FEDXA05,M,2,0,23,8,11
FEDXA05,M,2,1,0,4,14
FEDXA05,M,2,1,1,5,8
FEDXA05,M,2,1,2,10,8
FEDXA05,M,2,1,3,0,2
FEDXA05,M,2,1,4,4,5
FEDXA05,M,2,1,5,6,10
FEDXA05,M,2,1,6,0,0
FEDXA05,M,2,1,7,4,0
FEDXA05,M,2,1,8,0,6
FEDXA05,M,2,1,9,4,7
FEDXA05,M,2,1,10,3,0
FEDXA05,M,2,1,11,5,10
FEDXA05,M,2,1,12,9,10
FEDXA05,M,2,1,13,12,21
FEDXA05,M,2,1,14,11,28
FEDXA05,M,2,1,15,14,25
FEDXA05,M,2,1,16,18,8
FEDXA05,M,2,1,17,9,24
FEDXA05,M,2,1,18,16,27
FEDXA05,M,2,1,19,10,7
FEDXA05,M,2,1,20,3,8
FEDXA05,M,2,1,21,10,8
FEDXA05,M,2,1,22,2,12
FEDXA05,M,2,1,23,8,11
FEDXA05,M,2,2,0,8,20
FEDXA05,M,2,2,1,9,6
FEDXA05,M,2,2,2,0,9
FEDXA05,M,2,2,3,8,5
FEDXA05,M,2,2,4,0,0
FEDXA05,M,2,2,5,9,9
FEDXA05,M,2,2,6,0,0
