"contrast","estimate","SE","df","t.ratio","p.value","contrast_pretty"
"PR X5 Order1 - PR X6 Order2",-0.118153229431818,0.218798705436946,21,-0.540008814018636,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X6 Order1",-0.174543347636364,0.126270546986143,21,-1.38229659886971,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X0 Order2",-0.00907696806060617,0.172048760293493,21,-0.0527581137180067,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X0 Order2",-0.587216594477273,0.205534660025401,21,-2.85701980583081,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X1 Order2",0.00113084935606024,0.179631471997483,21,0.00629538545492789,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X1 Order2",-0.850476420977273,0.218767321649339,21,-3.88758437304679,0.28210995912171,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X2 Order2",0.173049667939394,0.244950445201666,21,0.706468068661491,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X2 Order2",-0.93942158764394,0.198348958940157,21,-4.73620629351207,0.0394219674147257,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X3 Order2",0.0310374267727273,0.19472737341649,21,0.159389130701944,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X3 Order2",-0.909636288643939,0.184378848836611,21,-4.93351756117113,0.0250386931993972,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X4 Order2",0.0312202486893937,0.156700977192014,21,0.199234550089231,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X4 Order2",-0.69895678589394,0.18476803689864,21,-3.7828879801184,0.360962293344142,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X5 Order2",0.115866383522727,0.17499358568889,21,0.662117888873471,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X5 Order2",-0.43078675139394,0.190921264100415,21,-2.25635815593263,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - NR X6 Order2",0.0267355780227273,0.163010464079554,21,0.164011422050056,1,"NANA OrderNA - NANA OrderNA"
"NR X6 Order1 - PR X6 Order2",-0.285873843977273,0.192604020602444,21,-1.4842568866584,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X0 Order2",0.165466379575758,0.202685448941176,21,0.816370294168379,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X0 Order2",-0.412673246840909,0.231786780826076,21,-1.78040026860101,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X1 Order2",0.175674196992424,0.209160419357824,21,0.83990172486644,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X1 Order2",-0.675933073340909,0.243597529370853,21,-2.77479445332086,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X2 Order2",0.347593015575757,0.26735993697346,21,1.30009387161945,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X2 Order2",-0.764878240007576,0.22543940384636,21,-3.39283296068708,0.856074179809274,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X3 Order2",0.205580774409091,0.222259679770406,21,0.924957574947718,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X3 Order2",-0.735092941007576,0.21325143655383,21,-3.44707146121391,0.768127895887932,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X4 Order2",0.205763596325757,0.189831007864601,21,1.08393037913237,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X4 Order2",-0.524413438257576,0.213588021090452,21,-2.45525678631337,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X5 Order2",0.290409731159091,0.205191058104911,21,1.4153137755672,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - PR X5 Order2",-0.256243403757576,0.218932739396507,21,-1.17042067104224,1,"NANA OrderNA - NANA OrderNA"
"PR X6 Order1 - NR X6 Order2",0.201278925659091,0.195071850079374,21,1.03181943256903,1,"NANA OrderNA - NANA OrderNA"
