Mouse_ID,Order,Sex,Diet_Phase,Current_Size,Next_Size,Time_Gap
FEDXA01,2,M,PR,1,3,2.033333333333303
FEDXA01,2,M,PR,3,1,2.516666666666879
FEDXA01,2,M,PR,1,1,3.116666666666788
FEDXA01,2,M,PR,1,1,7.366666666666333
FEDXA01,2,M,PR,1,1,6.383333333333667
FEDXA01,2,M,PR,1,1,3.566666666666606
FEDXA01,2,M,PR,1,1,1.616666666666788
FEDXA01,2,M,PR,1,2,3.75
FEDXA01,2,M,PR,2,1,8.366666666666333
FEDXA01,2,M,PR,1,1,10.866666666666788
FEDXA01,2,M,PR,1,1,9.233333333333121
FEDXA01,2,M,PR,1,1,3.933333333333394
FEDXA01,2,M,PR,1,3,10.933333333333394
FEDXA01,2,M,PR,3,5,24.433333333333394
FEDXA01,2,M,PR,5,1,3.449999999999818
FEDXA01,2,M,PR,1,1,4.400000000000091
FEDXA01,2,M,PR,1,3,36.75
FEDXA01,2,M,PR,3,2,3.766666666666879
FEDXA01,2,M,PR,2,2,1.5166666666664241
FEDXA01,2,M,PR,2,1,2.516666666666879
FEDXA01,2,M,PR,1,1,16.266666666666424
FEDXA01,2,M,PR,1,2,4.783333333333303
FEDXA01,2,M,PR,2,1,6.75
FEDXA01,2,M,PR,1,1,7.400000000000091
FEDXA01,2,M,PR,1,4,11.583333333333485
FEDXA01,2,M,PR,4,1,19.59999999999991
FEDXA01,2,M,PR,1,1,3.716666666666697
FEDXA01,2,M,PR,1,1,19.716666666666697
FEDXA01,2,M,PR,1,1,3.616666666666788
FEDXA01,2,M,PR,1,5,10.316666666666606
FEDXA01,2,M,PR,5,2,4.716666666666697
FEDXA01,2,M,PR,2,2,5.466666666666697
FEDXA01,2,M,PR,2,2,13.033333333332848
FEDXA01,2,M,PR,2,4,60.96666666666715
FEDXA01,2,M,PR,4,3,37.316666666666606
FEDXA01,2,M,PR,3,2,2
FEDXA01,2,M,PR,2,2,8.816666666666606
FEDXA01,2,M,PR,2,4,50.350000000000364
FEDXA01,2,M,PR,4,2,19.233333333332666
FEDXA01,2,M,PR,2,1,16.600000000000364
FEDXA01,2,M,PR,1,1,6.016666666666424
FEDXA01,2,M,PR,1,4,3.133333333333212
FEDXA01,2,M,PR,4,1,7.450000000000728
FEDXA01,2,M,PR,1,3,33.25
FEDXA01,2,M,PR,3,1,28.599999999999454
FEDXA01,2,M,PR,1,2,2.199999999999818
FEDXA01,2,M,PR,2,1,1.4666666666671517
FEDXA01,2,M,PR,1,2,46.13333333333321
FEDXA01,2,M,PR,2,1,1.4166666666669698
FEDXA01,2,M,PR,1,3,2.2999999999992724
FEDXA01,2,M,PR,3,1,5.75
FEDXA01,2,M,PR,1,2,9.450000000000728
FEDXA01,2,M,PR,2,7,97.59999999999945
FEDXA01,2,M,PR,7,1,3.816666666666606
FEDXA01,2,M,PR,1,1,1.066666666666606
FEDXA01,2,M,PR,1,1,2.9500000000007276
FEDXA01,2,M,PR,1,6,119.75
FEDXA01,2,M,PR,6,1,2.333333333
FEDXA01,2,M,PR,1,2,2.683333333333394
FEDXA01,2,M,PR,2,1,2.383333333333212
FEDXA01,2,M,PR,1,1,1.6666666666669698
FEDXA01,2,M,PR,1,1,100.5
FEDXA01,2,M,PR,1,3,3.5
FEDXA01,2,M,PR,3,1,91.66666666666606
FEDXA01,2,M,PR,1,1,2.983333333333576
FEDXA01,2,M,PR,1,1,5.366666666666788
FEDXA01,2,M,PR,1,1,5.833333333
FEDXA01,2,M,PR,1,1,2.633333333333212
FEDXA01,2,M,PR,1,6,74.35000000000036
FEDXA01,2,M,PR,6,1,52.08333333333303
FEDXA01,2,M,PR,1,2,4.516666666667334
FEDXA01,2,M,PR,2,1,3.016666666666424
FEDXA01,2,M,PR,1,1,26.149999999999636
FEDXA01,2,M,PR,1,2,13.433333333333394
FEDXA01,2,M,PR,2,3,2.6500000000005457
FEDXA01,2,M,PR,3,1,20.899999999999636
FEDXA01,2,M,PR,1,1,8.216666666666242
FEDXA01,2,M,PR,1,1,3.9000000000005457
FEDXA01,2,M,PR,1,1,8.016666666666424
FEDXA01,2,M,PR,1,1,19.83333333333303
FEDXA01,2,M,PR,1,1,3.666666667
