
	Pairwise comparisons using t tests with pooled SD 

data:  combined_data$pr_hourly_pellet_intake and interaction(combined_data$group, combined_data$hour) 

                  Female_Order_1.0 Female_Order_2.0 Male_Order_1.0
Female_Order_2.23 0.58223        0.17454        0.13889         
Male_Order_1.23   1.00000        1.00000        1.00000         
Male_Order_2.23   1.00000        1.00000        1.00000         
                  Female_Order_2.2 Male_Order_1.2 Male_Order_2.2
Female_Order_2.0  -                -              -             
Male_Order_1.0    -                -              -             
Male_Order_2.0    -                -              -             
Female_Order_1.1  -                -              -             
Female_Order_2.1  -                -              -             
Male_Order_1.1    -                -              -             
Male_Order_2.1    -                -              -             
Female_Order_1.2  -                -              -             
Female_Order_2.2  -                -              -             
Male_Order_1.2    1.00000          -              -             
Male_Order_2.2    1.00000          1.00000        -             
Female_Order_1.3  1.00000          1.00000        1.00000       
Female_Order_2.3  1.00000          1.00000        1.00000       
Male_Order_1.3    1.00000          1.00000        1.00000       
Male_Order_2.3    1.00000          1.00000        1.00000       
Female_Order_1.4  1.00000          1.00000        1.00000       
Female_Order_2.4  1.00000          1.00000        1.00000       
Male_Order_1.4    1.00000          1.00000        1.00000       
Male_Order_2.4    1.00000          1.00000        1.00000       
Female_Order_1.5  1.00000          1.00000        1.00000       
Female_Order_2.5  1.00000          1.00000        1.00000       
Male_Order_1.5    1.00000          1.00000        1.00000       
Male_Order_2.5    1.00000          1.00000        1.00000       
Female_Order_1.6  1.00000          1.00000        1.00000       
Female_Order_2.6  1.00000          1.00000        1.00000       
Male_Order_1.6    1.00000          1.00000        1.00000       
Male_Order_2.6    1.00000          1.00000        1.00000       
Female_Order_1.7  0.12183          0.80778        0.20002       
Female_Order_2.7  0.18803          1.00000        0.31099       
Male_Order_1.7    1.00000          1.00000        1.00000       
Male_Order_2.7    1.00000          1.00000        1.00000       
Female_Order_1.8  1.00000          1.00000        1.00000       
Female_Order_2.8  0.86809          1.00000        1.00000       
Male_Order_1.8    1.00000          1.00000        1.00000       
Male_Order_2.8    1.00000          1.00000        1.00000       
Female_Order_1.9  1.00000          1.00000        1.00000       
Female_Order_2.9  1.00000          1.00000        1.00000       
Male_Order_1.9    1.00000          1.00000        1.00000       
Male_Order_2.9    1.00000          1.00000        1.00000       
Female_Order_1.10 1.00000          1.00000        1.00000       
Female_Order_2.10 1.00000          1.00000        1.00000       
Male_Order_1.10   1.00000          1.00000        1.00000       
Male_Order_2.10   1.00000          1.00000        1.00000       
Female_Order_1.11 1.00000          1.00000        1.00000       
Female_Order_2.11 1.00000          1.00000        1.00000       
Male_Order_1.11   1.00000          1.00000        1.00000       
Male_Order_2.11   1.00000          1.00000        1.00000       
Female_Order_1.12 1.00000          1.00000        1.00000       
Female_Order_2.12 1.00000          1.00000        1.00000       
Male_Order_1.12   1.00000          1.00000        1.00000       
Male_Order_2.12   1.00000          1.00000        1.00000       
Female_Order_1.13 0.00256          0.00022        0.00141       
Female_Order_2.13 2.5e-08          8.1e-10        1.1e-08       
Male_Order_1.13   2.3e-05          1.1e-06        1.1e-05       
Male_Order_2.13   1.2e-05          5.7e-07        5.7e-06       
Female_Order_1.14 3.8e-07          1.7e-08        1.8e-07       
Female_Order_2.14 4.9e-10          1.3e-11        2.0e-10       
Male_Order_1.14   4.6e-09          1.4e-10        1.9e-09       
Male_Order_2.14   2.6e-10          6.5e-12        1.0e-10       
Female_Order_1.15 3.1e-11          8.4e-13        1.3e-11       
Female_Order_2.15 7.1e-10          1.9e-11        2.9e-10       
Male_Order_1.15   6.4e-06          2.9e-07        3.0e-06       
Male_Order_2.15   1.9e-11          4.2e-13        7.4e-12       
Female_Order_1.16 7.7e-06          4.1e-07        3.8e-06       
Female_Order_2.16 2.5e-09          7.1e-11        1.0e-09       
Male_Order_1.16   0.00033          2.0e-05        0.00017       
Male_Order_2.16   5.4e-11          1.3e-12        2.2e-11       
Female_Order_1.17 0.01375          0.00134        0.00781       
Female_Order_2.17 0.00030          1.8e-05        0.00015       
Male_Order_1.17   0.21712          0.02501        0.12978       
Male_Order_2.17   4.5e-08          1.5e-09        2.0e-08       
Female_Order_1.18 0.00031          2.2e-05        0.00016       
Female_Order_2.18 0.00025          1.5e-05        0.00013       
Male_Order_1.18   0.86809          0.12033        0.54265       
Male_Order_2.18   0.00077          5.1e-05        0.00040       
Female_Order_1.19 1.00000          1.00000        1.00000       
Female_Order_2.19 1.00000          1.00000        1.00000       
Male_Order_1.19   1.00000          1.00000        1.00000       
Male_Order_2.19   1.00000          1.00000        1.00000       
Female_Order_1.20 1.00000          1.00000        1.00000       
Female_Order_2.20 1.00000          1.00000        1.00000       
Male_Order_1.20   1.00000          1.00000        1.00000       
Male_Order_2.20   1.00000          1.00000        1.00000       
Female_Order_1.21 1.00000          1.00000        1.00000       
Female_Order_2.21 1.00000          1.00000        1.00000       
Male_Order_1.21   1.00000          1.00000        1.00000       
Male_Order_2.21   1.00000          1.00000        1.00000       
Female_Order_1.22 1.00000          1.00000        1.00000       
Female_Order_2.22 1.00000          1.00000        1.00000       
Male_Order_1.22   1.00000          1.00000        1.00000       
Male_Order_2.22   1.00000          1.00000        1.00000       
Female_Order_1.23 1.00000          0.82589        1.00000       
Female_Order_2.23 0.76342          0.10328        0.47453       
Male_Order_1.23   1.00000          1.00000        1.00000       
Male_Order_2.23   1.00000          1.00000        1.00000       
                  Female_Order_1.3 Female_Order_2.3 Male_Order_1.3
Female_Order_2.0  -                -                -             
Male_Order_1.0    -                -                -             
Male_Order_2.0    -                -                -             
Female_Order_1.1  -                -                -             
Female_Order_2.1  -                -                -             
Male_Order_1.1    -                -                -             
Male_Order_2.1    -                -                -             
Female_Order_1.2  -                -                -             
Female_Order_2.2  -                -                -             
Male_Order_1.2    -                -                -             
Male_Order_2.2    -                -                -             
Female_Order_1.3  -                -                -             
Female_Order_2.3  1.00000          -                -             
Male_Order_1.3    1.00000          1.00000          -             
Male_Order_2.3    1.00000          1.00000          1.00000       
Female_Order_1.4  1.00000          1.00000          1.00000       
Female_Order_2.4  1.00000          1.00000          1.00000       
Male_Order_1.4    1.00000          1.00000          1.00000       
Male_Order_2.4    1.00000          1.00000          1.00000       
Female_Order_1.5  1.00000          1.00000          1.00000       
Female_Order_2.5  1.00000          1.00000          1.00000       
Male_Order_1.5    1.00000          1.00000          1.00000       
Male_Order_2.5    1.00000          1.00000          1.00000       
Female_Order_1.6  1.00000          1.00000          1.00000       
Female_Order_2.6  1.00000          1.00000          1.00000       
Male_Order_1.6    1.00000          1.00000          1.00000       
Male_Order_2.6    1.00000          1.00000          1.00000       
Female_Order_1.7  1.00000          1.00000          1.00000       
Female_Order_2.7  1.00000          1.00000          1.00000       
Male_Order_1.7    1.00000          1.00000          1.00000       
Male_Order_2.7    1.00000          1.00000          1.00000       
Female_Order_1.8  1.00000          1.00000          1.00000       
Female_Order_2.8  1.00000          1.00000          1.00000       
Male_Order_1.8    1.00000          1.00000          1.00000       
Male_Order_2.8    1.00000          1.00000          1.00000       
Female_Order_1.9  1.00000          1.00000          1.00000       
Female_Order_2.9  1.00000          1.00000          1.00000       
Male_Order_1.9    1.00000          1.00000          1.00000       
Male_Order_2.9    1.00000          1.00000          1.00000       
Female_Order_1.10 1.00000          1.00000          1.00000       
Female_Order_2.10 1.00000          1.00000          1.00000       
Male_Order_1.10   1.00000          1.00000          1.00000       
Male_Order_2.10   1.00000          1.00000          1.00000       
Female_Order_1.11 1.00000          1.00000          1.00000       
