,contrast,estimate,SE,df,t.ratio,p.value
142,NR5 Order1 - PR1 Order2,40.90151515,15.13843907,21,2.701831738,1
143,NR5 Order1 - PR2 Order2,-2.181818182,14.60229919,21,-0.149416072,1
144,NR5 Order1 - PR3 Order2,-2.348484848,14.06788799,21,-0.166939405,1
145,NR5 Order1 - PR4 Order2,-25.93181818,14.81660843,21,-1.750185834,1
146,NR5 Order1 - PR5 Order2,-36.76515152,14.41074084,21,-2.551232579,1
147,NR5 Order1 - PR6 Order2,-28.26515152,16.27163583,21,-1.737081127,1
148,NR6 Order1 - PR0 Order1,37.63636364,12.13260287,21,3.102084856,1
149,NR6 Order1 - PR1 Order1,4.363636364,13.8959043,21,0.314023202,1
150,NR6 Order1 - PR2 Order1,-4.909090909,12.4300918,21,-0.394936014,1
151,NR6 Order1 - PR3 Order1,-4.636363636,11.32049096,21,-0.409554996,1
152,NR6 Order1 - PR4 Order1,-11.45454545,12.61239123,21,-0.90819776,1
153,NR6 Order1 - PR5 Order1,-24.45454545,13.28661631,21,-1.84053975,1
154,NR6 Order1 - PR6 Order1,-17.36363636,15.55359567,21,-1.116374421,1
155,NR6 Order1 - NR0 Order2,-48.39393939,14.25932918,21,-3.393844043,0.86499467
156,NR6 Order1 - NR1 Order2,-51.14393939,13.75498421,21,-3.718211422,0.426075176
157,NR6 Order1 - NR2 Order2,-22.72727273,11.91421329,21,-1.907576453,1
158,NR6 Order1 - NR3 Order2,-12.89393939,12.6125169,21,-1.022312952,1
159,NR6 Order1 - NR4 Order2,-4.310606061,13.44186436,21,-0.320685133,1
160,NR6 Order1 - NR5 Order2,-23.72727273,13.00856059,21,-1.823973726,1
161,NR6 Order1 - NR6 Order2,-19.97727273,11.80175244,21,-1.692737822,1
162,NR6 Order1 - PR0 Order2,40.35606061,12.17855473,21,3.313698671,1
163,NR6 Order1 - PR1 Order2,31.35606061,14.01817087,21,2.23681541,1
164,NR6 Order1 - PR2 Order2,-11.72727273,13.43740743,21,-0.872733285,1
165,NR6 Order1 - PR3 Order2,-11.89393939,12.85465866,21,-0.92526295,1
166,NR6 Order1 - PR4 Order2,-35.47727273,13.6699913,21,-2.595266664,1
167,NR6 Order1 - PR5 Order2,-46.31060606,13.22899196,21,-3.500690467,0.68549836
168,NR6 Order1 - PR6 Order2,-37.81060606,15.23492401,21,-2.481837523,1
169,PR0 Order1 - PR1 Order1,-33.27272727,10.02036494,21,-3.320510528,1
170,PR0 Order1 - PR2 Order1,-42.54545455,11.6966795,21,-3.63739594,0.508468834
171,PR0 Order1 - PR3 Order1,-42.27272727,14.68433093,21,-2.878764274,1
172,PR0 Order1 - PR4 Order1,-49.09090909,15.20346505,21,-3.228928992,1
173,PR0 Order1 - PR5 Order1,-62.09090909,14.52771285,21,-4.273963132,0.119125051
174,PR0 Order1 - PR6 Order1,-55,14.49580723,21,-3.794200567,0.360924638
175,PR0 Order1 - NR0 Order2,-86.03030303,14.60088157,21,-5.892130732,0.002816442
176,PR0 Order1 - NR1 Order2,-88.78030303,14.10875135,21,-6.292569826,0.001157767
177,PR0 Order1 - NR2 Order2,-60.36363636,12.3209477,21,-4.899268937,0.027609359
178,PR0 Order1 - NR3 Order2,-50.53030303,12.99741731,21,-3.887718754,0.293911932
179,PR0 Order1 - NR4 Order2,-41.9469697,13.80365863,21,-3.038829836,1
180,PR0 Order1 - NR5 Order2,-61.36363636,13.38207467,21,-4.585509934,0.057079069
181,PR0 Order1 - NR6 Order2,-57.61363636,12.21223299,21,-4.717698752,0.042014914
182,PR0 Order1 - PR0 Order2,2.71969697,12.57674319,21,0.216248112,1
183,PR0 Order1 - PR1 Order2,-6.28030303,14.36545817,21,-0.437180837,1
184,PR0 Order1 - PR2 Order2,-49.36363636,13.79931855,21,-3.577251745,0.577420263
185,PR0 Order1 - PR3 Order2,-49.53030303,13.23251765,21,-3.743074775,0.402820191
186,PR0 Order1 - PR4 Order2,-73.11363636,14.02590234,21,-5.212758125,0.013478241
187,PR0 Order1 - PR5 Order2,-83.9469697,13.59645183,21,-6.174182112,0.001500729
188,PR0 Order1 - PR6 Order2,-75.4469697,15.55506938,21,-4.850313929,0.030919915
189,PR1 Order1 - PR2 Order1,-9.272727273,11.20086161,21,-0.827858391,1
190,PR1 Order1 - PR3 Order1,-9,15.83741119,21,-0.568274694,1
191,PR1 Order1 - PR4 Order1,-15.81818182,16.88941663,21,-0.936573605,1
192,PR1 Order1 - PR5 Order1,-28.81818182,16.13019312,21,-1.786598685,1
193,PR1 Order1 - PR6 Order1,-21.72727273,17.1067249,21,-1.270101253,1
194,PR1 Order1 - NR0 Order2,-52.75757576,16.30210862,21,-3.236242439,1
195,PR1 Order1 - NR1 Order2,-55.50757576,15.8628455,21,-3.49921934,0.685744555
196,PR1 Order1 - NR2 Order2,-27.09090909,14.29610979,21,-1.894984684,1
197,PR1 Order1 - NR3 Order2,-17.25757576,14.88307292,21,-1.159543856,1
198,PR1 Order1 - NR4 Order2,-8.674242424,15.59211321,21,-0.556322437,1
199,PR1 Order1 - NR5 Order2,-28.09090909,15.22014866,21,-1.8456396,1
200,PR1 Order1 - NR6 Order2,-24.34090909,14.20252222,21,-1.713844112,1
201,PR1 Order1 - PR0 Order2,35.99242424,14.51714407,21,2.479304749,1
202,PR1 Order1 - PR1 Order2,26.99242424,16.09159381,21,1.677423913,1
203,PR1 Order1 - PR2 Order2,-16.09090909,15.58827108,21,-1.032244629,1
204,PR1 Order1 - PR3 Order2,-16.25757576,15.08882123,21,-1.077458306,1
205,PR1 Order1 - PR4 Order2,-39.84090909,15.78920324,21,-2.523300795,1
206,PR1 Order1 - PR5 Order2,-50.67424242,15.40897483,21,-3.288618678,1
207,PR1 Order1 - PR6 Order2,-42.17424242,17.16196918,21,-2.457424435,1
208,PR2 Order1 - PR3 Order1,0.272727273,10.39144013,21,0.026245378,1
209,PR2 Order1 - PR4 Order1,-6.545454545,12.76951478,21,-0.512584437,1
210,PR2 Order1 - PR5 Order1,-19.54545455,12.90485394,21,-1.514581617,1
211,PR2 Order1 - PR6 Order1,-12.45454545,16.62622504,21,-0.749090393,1
212,PR2 Order1 - NR0 Order2,-43.48484848,15.75956808,21,-2.759266514,1
213,PR2 Order1 - NR1 Order2,-46.23484848,15.30474136,21,-3.020949351,1
214,PR2 Order1 - NR2 Order2,-17.81818182,13.67420915,21,-1.303050262,1
215,PR2 Order1 - NR3 Order2,-7.984848485,14.28674561,21,-0.558899045,1
216,PR2 Order1 - NR4 Order2,0.598484848,15.02395537,21,0.039835372,1
217,PR2 Order1 - NR5 Order2,-18.81818182,14.63756011,21,-1.285609191,1
218,PR2 Order1 - NR6 Order2,-15.06818182,13.57633523,21,-1.10988581,1
219,PR2 Order1 - PR0 Order2,45.26515152,13.9051326,21,3.2552837,1
220,PR2 Order1 - PR1 Order2,36.26515152,15.54170621,21,2.333408638,1
221,PR2 Order1 - PR2 Order2,-6.818181818,15.01996791,21,-0.453941171,1
222,PR2 Order1 - PR3 Order2,-6.984848485,14.50095745,21,-0.481681883,1
223,PR2 Order1 - PR4 Order2,-30.56818182,15.22840043,21,-2.007314028,1
224,PR2 Order1 - PR5 Order2,-41.40151515,14.83380416,21,-2.79102479,1
225,PR2 Order1 - PR6 Order2,-32.90151515,16.64747509,21,-1.976366684,1
226,PR3 Order1 - PR4 Order1,-6.818181818,6.437361533,21,-1.059157822,1
227,PR3 Order1 - PR5 Order1,-19.81818182,8.285634841,21,-2.391872463,1
228,PR3 Order1 - PR6 Order1,-12.72727273,12.14649015,21,-1.047814848,1
229,PR3 Order1 - NR0 Order2,-43.75757576,15.2200341,21,-2.874998536,1
230,PR3 Order1 - NR1 Order2,-46.50757576,14.74857824,21,-3.153359938,1
231,PR3 Order1 - NR2 Order2,-18.09090909,13.04873357,21,-1.386411102,1
232,PR3 Order1 - NR3 Order2,-8.257575758,13.68928603,21,-0.603214495,1
233,PR3 Order1 - NR4 Order2,0.325757576,14.4569944,21,0.02253287,1
234,PR3 Order1 - NR5 Order2,-19.09090909,14.0550211,21,-1.358298146,1
235,PR3 Order1 - NR6 Order2,-15.34090909,12.94613186,21,-1.184980136,1
236,PR3 Order1 - PR0 Order2,44.99242424,13.29052913,21,3.385299696,0.879717632
237,PR3 Order1 - PR1 Order2,35.99242424,14.99433506,21,2.400401492,1
238,PR3 Order1 - PR2 Order2,-7.090909091,14.45285051,21,-0.490623568,1
239,PR3 Order1 - PR3 Order2,-7.257575758,13.91269991,21,-0.521651139,1
240,PR3 Order1 - PR4 Order2,-30.84090909,14.66934326,21,-2.102405578,1
241,PR3 Order1 - PR5 Order2,-41.67424242,14.25928462,21,-2.922604011,1
242,PR3 Order1 - PR6 Order2,-33.17424242,16.13765407,21,-2.055704149,1
243,PR4 Order1 - PR5 Order1,-13,6.912460255,21,-1.880661808,1
244,PR4 Order1 - PR6 Order1,-5.909090909,10.55014326,21,-0.560095798,1
245,PR4 Order1 - NR0 Order2,-36.93939394,15.97629145,21,-2.312138211,1
246,PR4 Order1 - NR1 Order2,-39.68939394,15.52781409,21,-2.556019392,1
247,PR4 Order1 - NR2 Order2,-11.27272727,13.92342983,21,-0.809622874,1
248,PR4 Order1 - NR3 Order2,-1.439393939,14.52546049,21,-0.099094548,1
249,PR4 Order1 - NR4 Order2,7.143939394,15.25113561,21,0.468420161,1
250,PR4 Order1 - NR5 Order2,-12.27272727,14.87064452,21,-0.825298948,1
251,PR4 Order1 - NR6 Order2,-8.522727273,13.82732008,21,-0.616368698,1
252,PR4 Order1 - PR0 Order2,51.81060606,14.15028675,21,3.66145273,0.483182216
253,PR4 Order1 - PR1 Order2,42.81060606,15.76142552,21,2.716163333,1
254,PR4 Order1 - PR2 Order2,-0.272727273,15.24720756,21,-0.017887031,1
255,PR4 Order1 - PR3 Order2,-0.439393939,14.73620267,21,-0.029817311,1
256,PR4 Order1 - PR4 Order2,-24.02272727,15.45257526,21,-1.554609951,1
257,PR4 Order1 - PR5 Order2,-34.85606061,15.06385237,21,-2.31388756,1
258,PR4 Order1 - PR6 Order2,-26.35606061,16.85278403,21,-1.563899506,1
259,PR5 Order1 - PR6 Order1,7.090909091,10.58298665,21,0.670029107,1
260,PR5 Order1 - NR0 Order2,-23.93939394,15.56602234,21,-1.537926222,1
261,PR5 Order1 - NR1 Order2,-26.68939394,15.10536903,21,-1.766881291,1
262,PR5 Order1 - NR2 Order2,1.727272727,13.45068999,21,0.128415176,1
263,PR5 Order1 - NR3 Order2,11.56060606,14.07295867,21,0.821476587,1
264,PR5 Order1 - NR4 Order2,20.14393939,14.82080634,21,1.359166224,1
265,PR5 Order1 - NR5 Order2,0.727272727,14.42897195,21,0.050403641,1
266,PR5 Order1 - NR6 Order2,4.477272727,13.35117761,21,0.335346653,1
267,PR5 Order1 - PR0 Order2,64.81060606,13.68538557,21,4.735753021,0.040361393
268,PR5 Order1 - PR1 Order2,55.81060606,15.34541291,21,3.636956945,0.508468834
269,PR5 Order1 - PR2 Order2,12.72727273,14.8167642,21,0.858977882,1
270,PR5 Order1 - PR3 Order2,12.56060606,14.29037551,21,0.878955633,1
271,PR5 Order1 - PR4 Order2,-11.02272727,15.02801535,21,-0.733478574,1
272,PR5 Order1 - PR5 Order2,-21.85606061,14.62801461,21,-1.494123515,1
273,PR5 Order1 - PR6 Order2,-13.35606061,16.46437039,21,-0.811209921,1
274,PR6 Order1 - NR0 Order2,-31.03030303,17.45245943,21,-1.777990269,1
275,PR6 Order1 - NR1 Order2,-33.78030303,17.0428713,21,-1.982078163,1
276,PR6 Order1 - NR2 Order2,-5.363636364,15.59513866,21,-0.343930021,1
277,PR6 Order1 - NR3 Order2,4.46969697,16.13491413,21,0.277020189,1
278,PR6 Order1 - NR4 Order2,13.0530303,16.79117593,21,0.777374399,1
279,PR6 Order1 - NR5 Order2,-6.363636364,16.44635279,21,-0.386932984,1
280,PR6 Order1 - NR6 Order2,-2.613636364,15.50939174,21,-0.168519592,1
281,PR6 Order1 - PR0 Order2,57.71969697,15.79800831,21,3.653605937,0.490777714
282,PR6 Order1 - PR1 Order2,48.71969697,17.25598406,21,2.823350833,1
283,PR6 Order1 - PR2 Order2,5.636363636,16.78760822,21,0.335745483,1
284,PR6 Order1 - PR3 Order2,5.46969697,16.32489267,21,0.335052553,1
285,PR6 Order1 - PR4 Order2,-18.11363636,16.97434929,21,-1.067118159,1
286,PR6 Order1 - PR5 Order2,-28.9469697,16.62125446,21,-1.741563476,1
287,PR6 Order1 - PR6 Order2,-20.4469697,18.25822502,21,-1.119877188,1
288,NR0 Order2 - NR1 Order2,-2.75,12.75726245,21,-0.215563489,1
289,NR0 Order2 - NR2 Order2,25.66666667,10.27815412,21,2.497205857,1
290,NR0 Order2 - NR3 Order2,35.5,11.0574226,21,3.210513091,1
291,NR0 Order2 - NR4 Order2,44.08333333,12.71343161,21,3.467461398,0.73213092
292,NR0 Order2 - NR5 Order2,24.66666667,16.79016295,21,1.469114191,1
293,NR0 Order2 - NR6 Order2,28.41666667,15.4703795,21,1.836843541,1
294,NR0 Order2 - PR0 Order2,88.75,15.02708894,21,5.906000848,0.002736239
295,NR0 Order2 - PR1 Order2,79.75,17.20908211,21,4.634180921,0.050970388
296,NR0 Order2 - PR2 Order2,36.66666667,16.81064792,21,2.181157254,1
297,NR0 Order2 - PR3 Order2,36.5,11.36046853,21,3.212895656,1
298,NR0 Order2 - PR4 Order2,12.91666667,9.730422742,21,1.327451747,1
299,NR0 Order2 - PR5 Order2,2.083333333,9.715321711,21,0.214437915,1
300,NR0 Order2 - PR6 Order2,10.58333333,7.449204693,21,1.420733323,1
301,NR1 Order2 - NR2 Order2,28.41666667,7.12504483,21,3.988279,0.231853321
302,NR1 Order2 - NR3 Order2,38.25,7.57927678,21,5.046655652,0.019757699
303,NR1 Order2 - NR4 Order2,46.83333333,9.550547783,21,4.903732686,0.027394328
304,NR1 Order2 - NR5 Order2,27.41666667,9.39432152,21,2.918429671,1
305,NR1 Order2 - NR6 Order2,31.16666667,9.654387135,21,3.228238751,1
306,NR1 Order2 - PR0 Order2,91.5,15.33296866,21,5.967533231,0.00238566
307,NR1 Order2 - PR1 Order2,82.5,16.73924673,21,4.928537189,0.025903227
308,NR1 Order2 - PR2 Order2,39.41666667,16.6183942,21,2.37186976,1
309,NR1 Order2 - PR3 Order2,39.25,12.80101837,21,3.066162305,1
310,NR1 Order2 - PR4 Order2,15.66666667,11.83690473,21,1.323544205,1
311,NR1 Order2 - PR5 Order2,4.833333333,13.8686158,21,0.348508705,1
312,NR1 Order2 - PR6 Order2,13.33333333,13.22918378,21,1.007872712,1
313,NR2 Order2 - NR3 Order2,9.833333333,5.019742169,21,1.958931953,1
314,NR2 Order2 - NR4 Order2,18.41666667,6.672348318,21,2.76014767,1
315,NR2 Order2 - NR5 Order2,-1,9.773148419,21,-0.102321172,1
316,NR2 Order2 - NR6 Order2,2.75,9.445498519,21,0.291143977,1
317,NR2 Order2 - PR0 Order2,63.08333333,12.57941703,21,5.014805788,0.021183652
318,NR2 Order2 - PR1 Order2,54.08333333,15.07745854,21,3.58703247,0.565947002
319,NR2 Order2 - PR2 Order2,11,14.38952541,21,0.764444948,1
320,NR2 Order2 - PR3 Order2,10.83333333,10.59609251,21,1.022389463,1
321,NR2 Order2 - PR4 Order2,-12.75,10.31549133,21,-1.23600511,1
322,NR2 Order2 - PR5 Order2,-23.58333333,10.59421558,21,-2.226057526,1
323,NR2 Order2 - PR6 Order2,-15.08333333,9.593920997,21,-1.572176104,1
324,NR3 Order2 - NR4 Order2,8.583333333,5.709542509,21,1.50333119,1
325,NR3 Order2 - NR5 Order2,-10.83333333,9.813049248,21,-1.103972176,1
