"Sex","Order","Phase","Hour","mean_meals","sd_meals","mean_snacks","sd_snacks","mean_mega_meals","sd_mega_meals"
"F","1","PR","23",1.82857142857143,1.33783254496493,1.08571428571429,0.779848232226067,0.8,0.344045559394066
"F","2","NR","0",1.23809523809524,0.597044876901237,0.595238095238095,0.377063483711031,0.619047619047619,0.390360029179413
"F","2","NR","1",0.476190476190476,0.295084445425327,0.142857142857143,0.127775312999988,0.19047619047619,0.147542222712663
"F","2","NR","2",1.23809523809524,0.764875162105191,0.452380952380952,0.398124856496733,0.285714285714286,0.18070158058105
"F","2","NR","3",1.23809523809524,0.697907465164239,0.571428571428571,0.393829964345435,0.428571428571429,0.393829964345435
"F","2","NR","4",0.976190476190476,0.36607868750062,0.476190476190476,0.368855556781659,0.30952380952381,0.277255745295422
"F","2","NR","5",1.07142857142857,0.662401321106836,0.30952380952381,0.343055498177674,0.214285714285714,0.149829835452879
"F","2","NR","6",0.571428571428571,0.361403161162101,0.238095238095238,0.233284737407922,0.261904761904762,0.262121122752817
"F","2","NR","7",0.476190476190476,0.265985524643218,0.0714285714285714,0.0782460796435952,0.166666666666667,0.140456011464311
"F","2","NR","8",0.928571428571429,0.467297920965604,0.428571428571429,0.393829964345435,0.142857142857143,0.127775312999988
"F","2","NR","9",0.785714285714286,0.29623487647611,0.19047619047619,0.147542222712663,0.214285714285714,0.0782460796435952
"F","2","NR","10",0.69047619047619,0.522292174597953,0.166666666666667,0.107538950387012,0.285714285714286,0.221313334068995
"F","2","NR","11",0.738095238095238,0.246057346338358,0.119047619047619,0.167006456350002,0.5,0.421368034392932
"F","2","NR","12",1.71428571428571,0.503051910333114,0.404761904761905,0.246057346338358,0.80952380952381,0.554511490590843
"F","2","NR","13",4.0952380952381,0.791107034563626,1.64285714285714,0.841524370001322,0.738095238095238,0.574397051514991
"F","2","NR","14",3.02380952380952,1.11544506232931,1.16666666666667,0.647864099295881,1.14285714285714,0.663940002206986
"F","2","NR","15",2.47619047619048,1.1975030711619,0.928571428571429,0.562429133857987,1.5,0.686606562325595
"F","2","NR","16",2.33333333333333,0.841120082507414,0.785714285714286,0.624336382383205,1.38095238095238,0.547101204432193
"F","2","NR","17",2,0.592469752952221,0.595238095238095,0.305282293806183,1.35714285714286,0.72702917999997
"F","2","NR","18",1.69047619047619,0.830129897220009,0.69047619047619,0.567246602002157,1.07142857142857,0.391230398217976
"F","2","NR","19",1.0952380952381,0.457737708217063,0.285714285714286,0.202030508910442,0.928571428571429,0.540219154319687
"F","2","NR","20",0.785714285714286,0.411567436882512,0.214285714285714,0.119522860933439,0.452380952380952,0.246057346338358
"F","2","NR","21",0.738095238095238,0.490036788845255,0.357142857142857,0.174963553055941,0.571428571428571,0.285714285714286
"F","2","NR","22",1.11904761904762,0.887172378927553,0.5,0.421368034392932,0.80952380952381,0.379760038807179
"F","2","NR","23",1.73809523809524,0.84956971902428,0.833333333333333,0.343055498177674,0.785714285714286,0.369776545872708
"F","2","PR","0",1.71428571428571,0.393829964345435,1.5,0.680635957118377,0.214285714285714,0.0782460796435952
"F","2","PR","1",0.452380952380952,0.354753914898841,0.380952380952381,0.483749527588583,0.0714285714285714,0.0782460796435952
"F","2","PR","2",1.80952380952381,0.759520077614358,1.5952380952381,0.608891040597353,0.0952380952380952,0.116642368703961
"F","2","PR","3",1.21428571428571,0.517056030595825,0.80952380952381,0.500340020440522,0.0476190476190476,0.0737711113563317
"F","2","PR","4",0.976190476190476,0.537694751935058,0.857142857142857,0.503051910333115,0.166666666666667,0.167006456350002
"F","2","PR","5",0.642857142857143,0.29623487647611,0.428571428571429,0.221313334068995,0.119047619047619,0.107538950387012
"F","2","PR","6",0.523809523809524,0.420560041253707,0.30952380952381,0.167006456350002,0.0952380952380952,0.0737711113563317
"F","2","PR","7",0.380952380952381,0.265985524643218,0.214285714285714,0.174963553055941,0.119047619047619,0.107538950387012
"F","2","PR","8",0.523809523809524,0.265985524643218,0.261904761904762,0.167006456350002,0.119047619047619,0.140456011464311
"F","2","PR","9",0.785714285714286,0.401527694930149,0.333333333333333,0.215077900774023,0.166666666666667,0.140456011464311
"F","2","PR","10",0.714285714285714,0.325764407171182,0.404761904761905,0.210280020626853,0.0714285714285714,0.0782460796435952
"F","2","PR","11",1.28571428571429,0.325764407171182,0.476190476190476,0.215077900774023,0.19047619047619,0.215077900774023
"F","2","PR","12",2.21428571428571,0.590744946518152,1.04761904761905,0.492114692676717,0.523809523809524,0.390360029179413
"F","2","PR","13",4.04761904761905,0.636743415255115,3.21428571428571,0.99693407556388,0.380952380952381,0.321560819354936
"F","2","PR","14",4.02380952380952,0.387737199729948,3.28571428571429,1.55969646445214,0.452380952380952,0.305282293806183
"F","2","PR","15",4.11904761904762,0.50642135128173,3.07142857142857,1.4134918406816,0.523809523809524,0.265985524643218
"F","2","PR","16",3.35714285714286,0.555124549363584,2.5952380952381,0.918813194874143,0.80952380952381,0.334012912700003
"F","2","PR","17",2.92857142857143,0.865436070334912,1.92857142857143,0.65621051873462,0.666666666666667,0.466569474815843
"F","2","PR","18",3.02380952380952,0.789816132912923,2.35714285714286,0.879471084092651,0.5,0.234738238930785
"F","2","PR","19",1.97619047619048,0.50642135128173,1.45238095238095,0.635138851389378,0.523809523809524,0.321560819354936
"F","2","PR","20",1.33333333333333,0.590168890850654,0.833333333333333,0.708068177662072,0.452380952380952,0.305282293806183
"F","2","PR","21",1.66666666666667,0.836253387372007,0.857142857142857,0.625968637148761,0.380952380952381,0.233284737407922
"F","2","PR","22",1.47619047619048,0.547101204432193,1.57142857142857,0.606091526731326,0.333333333333333,0.250170010220261
"F","2","PR","23",2.78571428571429,0.547722557505166,1.4047619047619,0.595333325715504,0.428571428571429,0.255550625999976
"M","1","NR","0",1.28571428571429,0.693997588656635,0.666666666666667,0.265985524643218,0.30952380952381,0.107538950387012
"M","1","NR","1",1.30952380952381,0.246057346338358,0.833333333333333,0.291605921759902,0.238095238095238,0.116642368703961
"M","1","NR","2",0.785714285714286,0.196914982172717,0.595238095238095,0.377063483711031,0.19047619047619,0.0737711113563317
"M","1","NR","3",0.714285714285714,0.3614031611621,0.738095238095238,0.377063483711032,0.642857142857143,0.251525955166557
"M","1","NR","4",0.476190476190476,0.280912022928621,0.214285714285714,0.216653584115759,0.476190476190476,0.173008591662714
"M","1","NR","5",0.238095238095238,0.233284737407922,0.0476190476190476,0.0737711113563317,0.428571428571429,0.255550625999976
"M","1","NR","6",0.214285714285714,0.196914982172717,0.0714285714285714,0.0782460796435952,0.357142857142857,0.149829835452879
"M","1","NR","7",0.380952380952381,0.147542222712663,0.0952380952380952,0.116642368703961,0.119047619047619,0.140456011464311
"M","1","NR","8",0.261904761904762,0.246057346338358,0.0714285714285714,0.119522860933439,0.523809523809524,0.116642368703961
"M","1","NR","9",0.428571428571429,0.127775312999988,0.0476190476190476,0.116642368703961,0.357142857142857,0.216653584115759
"M","1","NR","10",0.19047619047619,0.147542222712663,0.166666666666667,0.107538950387012,0.642857142857143,0.149829835452879
"M","1","NR","11",0.30952380952381,0.305282293806183,0.142857142857143,0.18070158058105,0.833333333333333,0.246057346338358
"M","1","NR","12",1.07142857142857,0.421368034392932,0.261904761904762,0.167006456350002,0.928571428571429,0.174963553055941
"M","1","NR","13",2.14285714285714,0.503051910333115,1.38095238095238,1.08295388435808,0.714285714285714,0.299659670905758
"M","1","NR","14",2.57142857142857,0.894427190999916,1.45238095238095,1.69372591731756,1.16666666666667,0.654133897961713
"M","1","NR","15",2.14285714285714,0.885253336275981,1.42857142857143,1.38505138783324,1.52380952380952,0.420560041253707
"M","1","NR","16",2.02380952380952,1.20683991690448,1.21428571428571,0.911379309013519,1.16666666666667,0.560004859065411
"M","1","NR","17",1.45238095238095,0.473085112648373,0.785714285714286,0.335029697130245,1.33333333333333,0.492114692676717
"M","1","NR","18",1.95238095238095,0.561824045857243,1,0.571428571428571,0.904761904761905,0.280912022928621
"M","1","NR","19",1.23809523809524,0.439542124160546,0.5,0.401527694930149,0.547619047619048,0.277255745295422
"M","1","NR","20",0.80952380952381,0.430155801548046,0.380952380952381,0.173008591662714,0.714285714285714,0.349927106111883
"M","1","NR","21",1.02380952380952,0.635138851389377,0.30952380952381,0.291605921759902,0.5,0.174963553055941
"M","1","NR","22",0.5,0.234738238930785,0.261904761904762,0.107538950387012,0.476190476190476,0.295084445425327
"M","1","NR","23",1.57142857142857,0.599319341811515,0.619047619047619,0.295084445425327,0.761904761904762,0.233284737407922
"M","1","PR","0",1.07142857142857,0.562429133857987,0.547619047619048,0.418126693686004,0.380952380952381,0.215077900774023
"M","1","PR","1",1.04761904761905,0.475237140947606,0.5,0.369776545872708,0.404761904761905,0.305282293806183
"M","1","PR","2",1.16666666666667,0.291605921759902,1,0.556959676846226,0.380952380952381,0.195180014589707
"M","1","PR","3",1.4047619047619,0.305282293806183,0.904761904761905,0.597044876901237,0.0952380952380952,0.147542222712663
"M","1","PR","4",0.952380952380952,0.295084445425327,1.14285714285714,0.645233702322069,0.119047619047619,0.107538950387012
"M","1","PR","5",0.5,0.251525955166557,0.261904761904762,0.398124856496733,0.595238095238095,0.377063483711031
"M","1","PR","6",0.380952380952381,0.147542222712663,0.238095238095238,0.280912022928621,0.214285714285714,0.234738238930785
"M","1","PR","7",0.5,0.475952321398791,0.119047619047619,0.107538950387012,0.261904761904762,0.167006456350002
