"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"M","2","NR","hour","5","21",0,0.0714285714285708,-0.760431450909027,0.903288593766169,1,"ns"
"M","2","NR","hour","5","22",0,0.0238095238095233,-0.808050498528075,0.855669546147121,1,"ns"
"M","2","NR","hour","5","23",0,0.166666666666666,-0.665193355670932,0.998526689004264,1,"ns"
"M","2","NR","hour","6","7",0,0.0714285714285724,-0.760431450909026,0.903288593766171,1,"ns"
"M","2","NR","hour","6","8",0,-0.0238095238095251,-0.855669546147123,0.808050498528073,1,"ns"
"M","2","NR","hour","6","9",0,-0.0952380952380946,-0.927098117575693,0.736621927099504,1,"ns"
"M","2","NR","hour","6","10",0,1.11022302462516e-16,-0.831860022337598,0.831860022337598,1,"ns"
"M","2","NR","hour","6","11",0,0.261904761904761,-0.569955260432837,1.09376478424236,1,"ns"
"M","2","NR","hour","6","12",0,0.11904761904762,-0.712812403289978,0.950907641385218,1,"ns"
"M","2","NR","hour","6","13",0,0.119047619047619,-0.712812403289979,0.950907641385217,1,"ns"
"M","2","NR","hour","6","14",0,0.952380952380952,0.120520930043354,1.78424097471855,0.00838,"**"
"M","2","NR","hour","6","15",0,1.04761904761905,0.21575902528145,1.87947906995665,0.00169,"**"
"M","2","NR","hour","6","16",0,1.21428571428572,0.382425691948117,2.04614573662331,7.44e-05,"****"
"M","2","NR","hour","6","17",0,1.04761904761905,0.215759025281449,1.87947906995664,0.00169,"**"
"M","2","NR","hour","6","18",0,0.785714285714285,-0.046145736623313,1.61757430805188,0.0908,"ns"
"M","2","NR","hour","6","19",0,0.452380952380952,-0.379479069956646,1.28424097471855,0.933,"ns"
"M","2","NR","hour","6","20",0,0.333333333333333,-0.498526689004265,1.16519335567093,0.998,"ns"
"M","2","NR","hour","6","21",0,0.333333333333333,-0.498526689004265,1.16519335567093,0.998,"ns"
"M","2","NR","hour","6","22",0,0.285714285714285,-0.546145736623313,1.11757430805188,1,"ns"
"M","2","NR","hour","6","23",0,0.428571428571428,-0.40328859376617,1.26043145090903,0.96,"ns"
"M","2","NR","hour","7","8",0,-0.0952380952380975,-0.927098117575696,0.736621927099501,1,"ns"
"M","2","NR","hour","7","9",0,-0.166666666666667,-0.998526689004265,0.665193355670931,1,"ns"
