"sex","order","diet","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"F","1","NR","hour","5","9",0,-0.142857142857142,-2.62112794392501,2.33541365821072,1,"ns"
"F","1","NR","hour","5","10",0,-0.257142857142857,-2.73541365821072,2.22112794392501,1,"ns"
"F","1","NR","hour","5","11",0,-0.114285714285714,-2.59255651535358,2.36398508678215,1,"ns"
"F","1","NR","hour","5","12",0,-0.0857142857142852,-2.56398508678215,2.39255651535358,1,"ns"
"F","1","NR","hour","5","13",0,1.71428571428571,-0.76398508678215,4.19255651535358,0.606,"ns"
"F","1","NR","hour","5","14",0,1.74285714285714,-0.735413658210722,4.22112794392501,0.574,"ns"
"F","1","NR","hour","5","15",0,1.37142857142857,-1.10684222963929,3.84969937249644,0.915,"ns"
"F","1","NR","hour","5","16",0,1.08571428571429,-1.39255651535358,3.56398508678215,0.993,"ns"
"F","1","NR","hour","5","17",0,1.02857142857143,-1.44969937249644,3.50684222963929,0.997,"ns"
"F","1","NR","hour","5","18",0,0.428571428571429,-2.04969937249644,2.90684222963929,1,"ns"
"F","1","NR","hour","5","19",0,0.342857142857143,-2.13541365821072,2.82112794392501,1,"ns"
"F","1","NR","hour","5","20",0,-0.171428571428571,-2.64969937249644,2.30684222963929,1,"ns"
"F","1","NR","hour","5","21",0,0.142857142857143,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","5","22",0,0.142857142857143,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","5","23",0,0.514285714285714,-1.96398508678215,2.99255651535358,1,"ns"
"F","1","NR","hour","6","7",0,-0.228571428571427,-2.70684222963929,2.24969937249644,1,"ns"
"F","1","NR","hour","6","8",0,-0.114285714285713,-2.59255651535358,2.36398508678215,1,"ns"
"F","1","NR","hour","6","9",0,-0.142857142857142,-2.62112794392501,2.33541365821072,1,"ns"
"F","1","NR","hour","6","10",0,-0.257142857142856,-2.73541365821072,2.22112794392501,1,"ns"
"F","1","NR","hour","6","11",0,-0.114285714285713,-2.59255651535358,2.36398508678215,1,"ns"
"F","1","NR","hour","6","12",0,-0.0857142857142847,-2.56398508678215,2.39255651535358,1,"ns"
"F","1","NR","hour","6","13",0,1.71428571428571,-0.76398508678215,4.19255651535358,0.606,"ns"
"F","1","NR","hour","6","14",0,1.74285714285714,-0.735413658210722,4.22112794392501,0.574,"ns"
"F","1","NR","hour","6","15",0,1.37142857142857,-1.10684222963929,3.84969937249644,0.915,"ns"
"F","1","NR","hour","6","16",0,1.08571428571429,-1.39255651535358,3.56398508678215,0.993,"ns"
"F","1","NR","hour","6","17",0,1.02857142857143,-1.44969937249644,3.50684222963929,0.997,"ns"
"F","1","NR","hour","6","18",0,0.428571428571429,-2.04969937249644,2.90684222963929,1,"ns"
"F","1","NR","hour","6","19",0,0.342857142857143,-2.13541365821072,2.82112794392501,1,"ns"
"F","1","NR","hour","6","20",0,-0.17142857142857,-2.64969937249644,2.30684222963929,1,"ns"
"F","1","NR","hour","6","21",0,0.142857142857144,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","6","22",0,0.142857142857144,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","6","23",0,0.514285714285715,-1.96398508678215,2.99255651535358,1,"ns"
"F","1","NR","hour","7","8",0,0.114285714285714,-2.36398508678215,2.59255651535358,1,"ns"
"F","1","NR","hour","7","9",0,0.0857142857142852,-2.39255651535358,2.56398508678215,1,"ns"
"F","1","NR","hour","7","10",0,-0.0285714285714295,-2.50684222963929,2.44969937249644,1,"ns"
"F","1","NR","hour","7","11",0,0.114285714285713,-2.36398508678215,2.59255651535358,1,"ns"
"F","1","NR","hour","7","12",0,0.142857142857142,-2.33541365821072,2.62112794392501,1,"ns"
"F","1","NR","hour","7","13",0,1.94285714285714,-0.535413658210723,4.42112794392501,0.356,"ns"
"F","1","NR","hour","7","14",0,1.97142857142857,-0.506842229639295,4.44969937249643,0.329,"ns"
"F","1","NR","hour","7","15",0,1.6,-0.878270801067866,4.07827080106786,0.731,"ns"
"F","1","NR","hour","7","16",0,1.31428571428571,-1.16398508678215,3.79255651535358,0.942,"ns"
"F","1","NR","hour","7","17",0,1.25714285714286,-1.22112794392501,3.73541365821072,0.963,"ns"
"F","1","NR","hour","7","18",0,0.657142857142856,-1.82112794392501,3.13541365821072,1,"ns"
"F","1","NR","hour","7","19",0,0.57142857142857,-1.90684222963929,3.04969937249643,1,"ns"
"F","1","NR","hour","7","20",0,0.0571428571428566,-2.42112794392501,2.53541365821072,1,"ns"
"F","1","NR","hour","7","21",0,0.37142857142857,-2.10684222963929,2.84969937249644,1,"ns"
"F","1","NR","hour","7","22",0,0.371428571428571,-2.10684222963929,2.84969937249644,1,"ns"
"F","1","NR","hour","7","23",0,0.742857142857142,-1.73541365821072,3.22112794392501,1,"ns"
"F","1","NR","hour","8","9",0,-0.0285714285714291,-2.50684222963929,2.44969937249644,1,"ns"
"F","1","NR","hour","8","10",0,-0.142857142857144,-2.62112794392501,2.33541365821072,1,"ns"
"F","1","NR","hour","8","11",0,-7.7715611723761e-16,-2.47827080106787,2.47827080106786,1,"ns"
"F","1","NR","hour","8","12",0,0.0285714285714279,-2.44969937249644,2.50684222963929,1,"ns"
"F","1","NR","hour","8","13",0,1.82857142857143,-0.649699372496437,4.30684222963929,0.477,"ns"
"F","1","NR","hour","8","14",0,1.85714285714286,-0.621127943925009,4.33541365821072,0.445,"ns"
"F","1","NR","hour","8","15",0,1.48571428571428,-0.99255651535358,3.96398508678215,0.837,"ns"
"F","1","NR","hour","8","16",0,1.2,-1.27827080106787,3.67827080106786,0.977,"ns"
"F","1","NR","hour","8","17",0,1.14285714285714,-1.33541365821072,3.62112794392501,0.987,"ns"
"F","1","NR","hour","8","18",0,0.542857142857142,-1.93541365821072,3.02112794392501,1,"ns"
"F","1","NR","hour","8","19",0,0.457142857142856,-2.02112794392501,2.93541365821072,1,"ns"
"F","1","NR","hour","8","20",0,-0.0571428571428577,-2.53541365821072,2.42112794392501,1,"ns"
"F","1","NR","hour","8","21",0,0.257142857142856,-2.22112794392501,2.73541365821072,1,"ns"
"F","1","NR","hour","8","22",0,0.257142857142856,-2.22112794392501,2.73541365821072,1,"ns"
"F","1","NR","hour","8","23",0,0.628571428571427,-1.84969937249644,3.10684222963929,1,"ns"
"F","1","NR","hour","9","10",0,-0.114285714285715,-2.59255651535358,2.36398508678215,1,"ns"
"F","1","NR","hour","9","11",0,0.0285714285714283,-2.44969937249644,2.50684222963929,1,"ns"
"F","1","NR","hour","9","12",0,0.057142857142857,-2.42112794392501,2.53541365821072,1,"ns"
