MouseID,Phase,Start_Time,End_Time,Duration_Minutes,Number_of_Pellets
FEDXA05,GRAIN,4/24/2022 15:09,4/24/2022 15:12,2.85,14
FEDXA05,GRAIN,4/24/2022 21:41,4/24/2022 21:44,2.42,12
FEDXA05,GRAIN,4/24/2022 22:20,4/24/2022 22:21,1.73,12
FEDXA05,GRAIN,4/24/2022 22:49,4/24/2022 22:51,2.23,13
FEDXA05,GRAIN,4/25/2022 0:52,4/25/2022 0:55,2.53,16
FEDXA05,GRAIN,4/25/2022 1:33,4/25/2022 1:35,1.97,13
FEDXA05,GRAIN,4/25/2022 7:31,4/25/2022 7:33,2,11
FEDXA05,GRAIN,4/25/2022 12:28,4/25/2022 12:30,1.53,10
FEDXA05,GRAIN,4/25/2022 16:45,4/25/2022 16:49,4.4,17
FEDXA05,GRAIN,4/25/2022 18:52,4/25/2022 18:54,2.12,13
FEDXA05,GRAIN,4/25/2022 21:12,4/25/2022 21:14,1.58,11
FEDXA05,GRAIN,4/25/2022 23:06,4/25/2022 23:08,1.92,11
FEDXA05,GRAIN,4/25/2022 23:39,4/25/2022 23:41,2.53,16
FEDXA05,GRAIN,4/26/2022 0:25,4/26/2022 0:27,1.5,12
FEDXA05,GRAIN,4/26/2022 1:17,4/26/2022 1:18,1.67,10
FEDXA05,GRAIN,4/26/2022 4:34,4/26/2022 4:36,1.67,11
FEDXA05,GRAIN,4/26/2022 7:48,4/26/2022 7:52,3.73,15
FEDXA05,GRAIN,4/26/2022 8:47,4/26/2022 8:49,1.73,10
FEDXA05,PR,4/26/2022 12:30,4/26/2022 12:34,3.95,10
FEDXA05,PR,4/30/2022 12:08,4/30/2022 12:10,2.37,10
FEDXA05,PR,4/30/2022 17:12,4/30/2022 17:15,2.35,11
FEDXA05,NR,5/3/2022 11:33,5/3/2022 11:36,3.25,11
FEDXA05,NR,5/3/2022 15:51,5/3/2022 15:55,3.22,12
FEDXA05,NR,5/3/2022 18:15,5/3/2022 18:18,2.6,12
FEDXA05,NR,5/4/2022 12:45,5/4/2022 12:47,2.12,10
FEDXA05,NR,5/5/2022 5:04,5/5/2022 5:07,2.18,10
FEDXA05,NR,5/6/2022 10:45,5/6/2022 10:47,2.05,10
FEDXA05,NR,5/7/2022 3:26,5/7/2022 3:29,2.55,11
